dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-590-5p,8.0,11.0,Severe dengue,Non-severe dengue,1.631976918950765,2.665281156221897,,,-1.0333042372711327,0.4885898379260215,,-1.7745955170481595,0.0939393822700604,0.9413072241304024,0.1288402000476304,0.2840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-4451,8.0,11.0,Severe dengue,Non-severe dengue,1.6039764145515778,2.8168971943226677,,,-1.2129207797710897,0.4313943600367257,,-1.8227305738229809,0.094093480783783,0.9413072241304024,0.0903651458871802,0.2613636363636363,,
GSE190749,SD_vs_NonSevere,hsa-miR-561-5p,8.0,11.0,Severe dengue,Non-severe dengue,1.25344907046479,2.08644022557058,,,-0.83299115510579,0.5613641526451707,,-1.7701647748887055,0.0947557522895726,0.9413072241304024,0.1602161770326712,0.3011363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-29c-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.3575096865078595,0.4295122955087616,,,0.9279973909990982,1.9026331118976345,,1.8703156831360968,0.0951839871439628,0.9413072241304024,0.0412504612930199,0.7840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-1976,8.0,11.0,Severe dengue,Non-severe dengue,0.9599855449864312,0.2674751532426368,,,0.6925103917437944,1.6160931900488784,,1.8584845606362648,0.0999436379546141,0.9413072241304024,0.0686702367312775,0.75,,
GSE190749,SD_vs_NonSevere,hsa-miR-128-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.7741831228661089,0.2674751532426368,,,0.5067079696234721,1.4208044147961774,,1.825508552344019,0.1011870287766012,0.9413072241304024,0.0686702367312775,0.75,,
GSE190749,SD_vs_NonSevere,hsa-miR-877-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.745390841342834,3.740425077612128,,,-0.9950342362692934,0.5017239678156208,,-1.7741428168521252,0.1035421820954724,0.9413072241304024,0.1773702733455055,0.3068181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-411-5p,8.0,11.0,Severe dengue,Non-severe dengue,6.677873585928872,7.286622054511937,,,-0.6087484685830651,0.6557653287069677,,-1.7727406364565588,0.1039626308004763,0.9413072241304024,0.1086502077214151,0.2727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-1273c,8.0,11.0,Severe dengue,Non-severe dengue,2.375726387537683,1.2733829411986723,,,1.1023434463390107,2.1470316318594342,,1.7250581069480722,0.1045064606682617,0.9413072241304024,0.0427054404203834,0.7840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-1303,8.0,11.0,Severe dengue,Non-severe dengue,2.704276081892084,0.9457249983842982,,,1.7585510835077858,3.383581369801949,,1.773604960625324,0.1059440559749252,0.9413072241304024,0.0184009550161145,0.8295454545454546,,
GSE190749,SD_vs_NonSevere,hsa-miR-3934-5p,8.0,11.0,Severe dengue,Non-severe dengue,4.0033159580356354,3.45142446459938,,,0.5518914934362553,1.4660064932009065,,1.7173130298841432,0.1063035538693653,0.9413072241304024,0.1288402000476304,0.7159090909090909,,
GSE190749,SD_vs_NonSevere,hsa-miR-296-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.6870052840303019,0.2674751532426368,,,0.4195301307876651,1.337491878092545,,1.774988126587506,0.1065662686470001,0.9413072241304024,0.0686702367312775,0.75,,
GSE190749,SD_vs_NonSevere,hsa-miR-4455,8.0,11.0,Severe dengue,Non-severe dengue,5.502240049866825,4.904822820705595,,,0.5974172291612296,1.513005497048882,,1.7877030583485445,0.1065911215960917,0.9413072241304024,0.1773702733455055,0.6931818181818182,,
GSE190749,SD_vs_NonSevere,hsa-miR-555,8.0,11.0,Severe dengue,Non-severe dengue,1.0356163814702373,1.983156194469209,,,-0.9475398129989724,0.5185159189534605,,-1.6995313228582043,0.1080730058291432,0.9413072241304024,0.1264485778732151,0.2840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-4531,8.0,11.0,Severe dengue,Non-severe dengue,3.880068002162056,4.749602858288376,,,-0.8695348561263199,0.5473232864190624,,-1.7309754858752562,0.1105598688254164,0.9413072241304024,0.0754147812971342,0.25,,
GSE190749,SD_vs_NonSevere,hsa-miR-302b-3p,8.0,11.0,Severe dengue,Non-severe dengue,2.700079038231963,3.892462767183132,,,-1.1923837289511687,0.4375792617549781,,-1.7484398717333371,0.112155973718397,0.9413072241304024,0.1288402000476304,0.2840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-1252-5p,8.0,11.0,Severe dengue,Non-severe dengue,1.9730833393368552,2.9734063294260413,,,-1.000322990089186,0.4998880726947575,,-1.6733296391215955,0.112571055720347,0.9413072241304024,0.0908417348045831,0.2613636363636363,,
GSE190749,SD_vs_NonSevere,hsa-miR-151a-3p,8.0,11.0,Severe dengue,Non-severe dengue,2.639320490042687,1.3233490310013876,,,1.3159714590412994,2.4896992163457847,,1.7395293806923071,0.1146100941414128,0.9413072241304024,0.1602161770326712,0.6988636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-1253,8.0,11.0,Severe dengue,Non-severe dengue,7.657671535602442,8.232666812453441,,,-0.5749952768509994,0.6712884490757739,,-1.730724847767439,0.1172623521962661,0.9413072241304024,0.0908417348045831,0.2613636363636363,,
GSE190749,SD_vs_NonSevere,hsa-miR-548ah-5p,8.0,11.0,Severe dengue,Non-severe dengue,5.607407650742274,5.284861443613003,,,0.322546207129271,1.2505356681905702,,1.6504859586262612,0.1176709658456535,0.9413072241304024,0.1517557090312508,0.7045454545454546,,
GSE190749,SD_vs_NonSevere,hsa-miR-423-3p,8.0,11.0,Severe dengue,Non-severe dengue,2.8452555918909272,1.8798004296132005,,,0.9654551622777268,1.9526794839198225,,1.651392928979631,0.1177549558418898,0.9413072241304024,0.1517557090312508,0.7045454545454546,,
GSE190749,SD_vs_NonSevere,hsa-miR-1200,8.0,11.0,Severe dengue,Non-severe dengue,1.0586980985841037,2.0586184158142826,,,-0.9999203172301788,0.5000276167062747,,-1.6425099317620198,0.119374567857291,0.9413072241304024,0.2291372631207425,0.3295454545454545,,
GSE190749,SD_vs_NonSevere,hsa-miR-1283,8.0,11.0,Severe dengue,Non-severe dengue,5.911850148072331,8.065737090394176,,,-2.1538869423218454,0.2247063902163275,,-1.7592347234937364,0.1205860400387017,0.9413072241304024,0.1086502077214151,0.2727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-342-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.346034282679428,0.925651883151958,,,-0.5796176004725301,0.6691411158677129,,-1.6393172185984075,0.1222864823980061,0.9413072241304024,0.3739374985300975,0.375,,
GSE190749,SD_vs_NonSevere,hsa-miR-3613-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.7051920321017389,0.2876926460914047,,,0.4174993860103341,1.3356105422144966,,1.679340046333661,0.1246368349282124,0.9413072241304024,0.0686702367312775,0.75,,
GSE190749,SD_vs_NonSevere,hsa-miR-3690,8.0,11.0,Severe dengue,Non-severe dengue,0.7645342425923716,1.761316775128294,,,-0.9967825325359224,0.5011163335995394,,-1.6143700178319451,0.1256719743465361,0.9413072241304024,0.1207600731978176,0.2840909090909091,,
